city_code,ciiu4n4,type,year_prev,year_current
10701.0,A0122,New,2007,2008
10701.0,B0891,New,2007,2008
10701.0,C2824,New,2007,2008
10701.0,F4220,New,2007,2008
10701.0,H4922,New,2007,2008
10701.0,H5222,New,2007,2008
10701.0,O8421,New,2007,2008
10701.0,R9000,New,2007,2008
10702.0,A0141,New,2007,2008
10702.0,Q8620,New,2007,2008
10704.0,A0146,New,2007,2008
10704.0,S9420,New,2007,2008
10705.0,A0145,New,2007,2008
10705.0,S9491,New,2007,2008
10706.0,A0321,New,2007,2008
10706.0,H5221,New,2007,2008
10706.0,S9491,New,2007,2008
10707.0,C1010,New,2007,2008
10707.0,G4530,New,2007,2008
10707.0,H4923,New,2007,2008
10707.0,H5221,New,2007,2008
10707.0,U9900,New,2007,2008
10708.0,P8521,New,2007,2008
10709.0,G4669,New,2007,2008
10709.0,G4690,New,2007,2008
10710.0,H4923,New,2007,2008
10710.0,J6110,New,2007,2008
10712.0,F4100,New,2007,2008
10712.0,R9321,New,2007,2008
10712.0,S9491,New,2007,2008
10713.0,C2420,New,2007,2008
10713.0,C2710,New,2007,2008
10713.0,R9312,New,2007,2008
10714.0,P8522,New,2007,2008
10714.0,S9491,New,2007,2008
10801.0,C2740,New,2007,2008
10801.0,F4290,New,2007,2008
10801.0,H4922,New,2007,2008
10801.0,I5621,New,2007,2008
10801.0,P8522,New,2007,2008
10801.0,Q8610,New,2007,2008
10801.0,Q8710,New,2007,2008
10801.0,S9491,New,2007,2008
10802.0,F4100,New,2007,2008
10802.0,O8412,New,2007,2008
10804.0,A0129,New,2007,2008
10804.0,A0141,New,2007,2008
10805.0,P8522,New,2007,2008
10806.0,C1040,New,2007,2008
10806.0,F4100,New,2007,2008
10806.0,M7010,New,2007,2008
10806.0,N7911,New,2007,2008
10807.0,A0150,New,2007,2008
10807.0,G4730,New,2007,2008
10807.0,O8423,New,2007,2008
10807.0,Q8790,New,2007,2008
10901.0,A0122,New,2007,2008
10901.0,A0143,New,2007,2008
10901.0,A0162,New,2007,2008
10901.0,A0321,New,2007,2008
10901.0,B0810,New,2007,2008
10901.0,C2100,New,2007,2008
10901.0,C2219,New,2007,2008
10901.0,C2731,New,2007,2008
10901.0,C2825,New,2007,2008
10901.0,C3314,New,2007,2008
10901.0,E3900,New,2007,2008
10901.0,F4100,New,2007,2008
10901.0,K6630,New,2007,2008
10901.0,N7729,New,2007,2008
10901.0,N8130,New,2007,2008
10901.0,R9321,New,2007,2008
10901.0,S9492,New,2007,2008
10902.0,A0163,New,2007,2008
10902.0,O8423,New,2007,2008
10902.0,P8521,New,2007,2008
10903.0,A0150,New,2007,2008
10903.0,Q8810,New,2007,2008
10904.0,J5811,New,2007,2008
10904.0,P8521,New,2007,2008
10904.0,P8522,New,2007,2008
10904.0,Q8620,New,2007,2008
10905.0,P8521,New,2007,2008
10906.0,F4100,New,2007,2008
10906.0,G4649,New,2007,2008
