location,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10
10701.0,6.979602,1.5282124,2.5377223,4.4017973,5.629092,6.7528234,-5.4119873,6.9200506,1.4217675,14.379494
10702.0,6.0215063,1.6434218,2.625026,4.590817,5.0075383,7.05428,-5.136394,7.8517585,0.8969221,15.115562
10703.0,7.0994964,1.5763456,3.1600368,5.1604114,7.4890704,5.6671305,-6.7919765,5.227676,3.2606475,15.242973
10704.0,7.014187,1.0494558,2.8606105,4.772444,6.5632844,6.216875,-6.141136,5.932852,2.7287269,15.166197
10705.0,7.06938,1.0991493,2.832778,4.7762403,6.7057076,6.160957,-6.133326,5.960906,2.8156626,15.19913
10706.0,6.148264,1.6158679,2.3320665,4.6884646,5.521593,7.0680394,-4.914163,8.043808,1.3139673,15.630201
10707.0,7.094658,1.1526384,2.7669575,4.8153386,6.2460575,5.871269,-6.5980763,5.3223844,2.3790636,15.001901
10708.0,5.0722637,2.1994324,2.273729,5.5239844,4.5464563,7.493668,-5.1163974,6.3954496,0.24311054,15.685912
10709.0,5.5961614,1.8304058,1.9359667,4.527233,5.0308695,6.6940703,-4.646036,7.362415,0.6090512,15.5071945
10710.0,6.046606,1.773027,2.266245,4.643081,5.52694,7.008411,-4.8415165,8.070809,1.328693,15.682756
10711.0,7.374549,1.6283296,2.5422525,4.387433,5.7191606,6.7872477,-5.325628,7.189487,1.4709822,14.107166
10712.0,5.793769,1.52249,2.0058563,4.9410887,5.4026337,6.9698353,-4.995962,6.8775053,1.2302619,15.977678
10713.0,7.010065,1.4702977,3.0845284,5.0368104,6.8786597,5.6955,-6.464588,5.3845434,2.9523253,15.184068
10714.0,6.053356,1.6639026,2.3970337,4.6928034,5.4043846,7.1196027,-4.8654685,7.9616413,1.2958297,15.681119
10801.0,7.1663814,1.4205344,3.210934,5.053734,7.3472795,5.580934,-6.8542767,5.4107676,3.1126,15.403104
10802.0,7.197664,1.5618454,2.5211573,4.4350047,5.715958,6.8555737,-5.2538657,7.325146,1.4658422,14.309287
10803.0,7.1687326,1.4709123,3.145169,5.182523,7.4017043,5.6465683,-6.5944786,5.255277,3.388023,15.420911
10804.0,6.343666,2.6517558,3.0841813,4.016578,3.7958286,6.740801,-4.77161,7.584012,0.32846457,13.853386
10805.0,5.851301,1.9090103,2.6909707,5.2098055,4.8403153,7.323368,-5.250732,7.32134,0.7571155,15.285326
10806.0,6.127109,1.5458059,2.6543088,4.4888268,5.096166,6.967471,-5.1823664,7.839839,1.0280675,15.139523
10807.0,6.3781347,2.5357988,3.0484085,3.9443073,3.8853114,6.6188893,-4.760857,7.5178337,0.47036025,13.881542
10901.0,7.255215,1.689453,1.8283675,4.7519593,6.2321053,6.9266095,-5.3676357,6.6874166,1.8906372,15.217854
10902.0,7.1316447,1.6256193,3.2795575,5.2298055,7.309097,5.631124,-6.5137243,5.373312,3.1632369,15.407678
10903.0,6.968052,1.5134515,3.2334478,5.0775294,7.305552,5.607694,-6.767029,5.3775096,3.1952572,15.33598
10904.0,6.060588,1.7269311,2.4115887,4.737349,5.013383,7.0268106,-4.945528,6.9374433,1.3452582,15.428196
10905.0,7.3312416,1.5951304,1.92362,4.798847,6.313445,6.9324784,-5.4471116,6.630719,1.9259363,15.137624
10906.0,6.3852563,2.2406604,3.0381444,4.032945,4.3081408,6.5112004,-4.920024,7.3898387,0.8738629,14.239313
10907.0,6.3417106,2.6236408,3.0042653,3.9990075,3.8045197,6.71186,-4.7317066,7.5769973,0.35994527,13.842913
10908.0,5.8950872,2.626858,2.6274798,3.9772508,4.685046,7.363332,-3.436923,9.054692,1.9477001,16.291166
10909.0,7.2435923,1.3683538,3.1358652,5.1744647,7.4057975,5.6763754,-6.844033,5.2322392,3.2281582,15.249259
10910.0,5.2997756,2.1567788,2.2867968,4.6649256,4.641062,6.9425206,-4.689675,7.372125,0.37831813,15.39956
10911.0,5.5922933,2.0885968,2.7065773,5.586134,4.8124385,7.424754,-5.225575,6.8792715,0.6043823,15.452246
10912.0,6.2259593,1.2932994,3.2695343,5.8809175,5.1440806,6.9342914,-6.55906,6.1862817,1.0828123,14.560699
10913.0,5.9762588,1.6472511,2.2223425,4.5721226,5.2737875,7.0588202,-4.5500493,7.8893905,1.3880777,15.827471
10914.0,6.027875,1.645472,2.634147,4.523443,5.0026093,6.995297,-5.141197,7.8237596,0.9240533,15.11458
10916.0,5.677701,2.1521754,2.6801534,4.506457,4.57909,6.719138,-5.2135725,5.887144,1.0181036,14.961188
10918.0,7.379108,1.6817687,3.1321306,5.1170025,7.3889213,5.7380605,-6.7079597,5.3762717,3.2655523,15.273179
10919.0,5.9493775,2.5420907,2.6877007,4.092972,4.7767205,7.452464,-3.368992,9.025988,1.9900839,16.312609
10920.0,7.334995,1.0435157,2.7351549,5.0798078,6.4409413,6.0400352,-6.710078,5.134199,2.7100568,15.108287
10921.0,5.410255,2.161614,2.7197266,5.469485,4.820799,7.4765515,-5.0784936,6.9685144,0.42052528,15.480176
10922.0,5.840336,2.1742127,2.650466,4.329163,4.828042,7.117494,-4.4717054,8.106863,1.6507128,15.927659
10923.0,5.6168885,2.102214,2.642479,5.5524545,4.793624,7.4228296,-5.2622285,6.846283,0.6147843,15.41718
10924.0,3.8634784,2.7268288,2.1764493,4.890912,4.340049,7.640255,-4.5798945,5.992378,-0.34956998,14.9022045
10925.0,6.7043967,1.5641043,3.0033793,5.0591793,6.2333646,5.7154474,-6.420442,5.114056,2.6833894,15.161017
10927.0,3.995973,2.831681,2.1200528,4.926039,4.2155585,7.764495,-4.5759234,6.029498,-0.41893917,14.916169
10928.0,7.111367,1.4701462,3.3577385,5.0347667,7.4426727,5.56168,-6.8661036,5.259619,3.2154894,15.031823
11201.0,5.7043915,1.6804023,2.1430666,4.6441216,5.295482,7.0850654,-4.571602,7.734957,1.1201905,15.824719
11202.0,7.2244654,1.5205567,3.4436975,5.305585,7.2299943,5.696286,-6.7130947,5.3229303,3.2898226,15.15231
11203.0,6.2084975,2.1588562,2.8715403,4.425986,4.4057226,6.8883247,-5.0163713,7.5443664,0.62117195,14.332438
11204.0,6.161897,1.1714889,3.2725298,5.8253775,4.9715424,7.0010586,-6.432045,6.469518,0.9554415,14.286591
11205.0,5.92472,2.4084167,2.5203054,4.1368747,4.842182,7.214275,-3.6892555,8.822737,1.8214461,16.181555
11206.0,6.2827115,2.3599796,2.929778,4.2669077,4.13874,6.8290296,-4.900341,7.5445175,0.48256552,14.038847
11207.0,5.7365885,2.22579,2.5925062,4.325066,4.721132,7.2038474,-4.360742,8.149672,1.532162,15.87554
11208.0,6.342279,2.727112,2.9793043,3.9184608,3.8429515,6.665389,-4.670868,7.574026,0.2706591,13.806584
11209.0,6.3932285,1.6632357,2.552849,4.7177577,5.6736765,6.4068847,-5.2975936,6.7235804,1.7886001,15.282566
11210.0,6.3048353,1.7325748,2.5305316,4.572849,5.4161525,6.581207,-5.041055,7.181319,1.5831873,15.291253
11211.0,5.637859,1.8679498,2.0861657,4.428787,4.983371,6.549178,-4.7857847,7.169592,0.6523289,15.276908
11212.0,6.385189,1.688824,2.476659,4.6440406,5.5771255,6.5630584,-5.1411076,7.0488667,1.6781247,15.325081
11213.0,6.6494026,1.5980126,2.9967,5.0765076,6.1850867,5.7565293,-6.4328027,5.0637307,2.6043065,15.141819
11301.0,5.7931714,2.3068864,2.5986087,4.351412,4.4199944,6.7513943,-4.844451,7.0398307,0.49051788,14.627918
11302.0,7.4966187,1.68851,2.4242814,4.46304,5.8737435,6.8308897,-5.2721777,7.1960692,1.5959681,14.217936
11303.0,6.4974065,1.1072123,3.1517634,4.818272,5.874971,6.4250793,-6.0358315,5.781373,2.09283,14.948002
11304.0,4.168573,3.1165302,2.2231498,5.2031446,3.9224827,7.2464714,-4.259051,6.3403363,-0.5534187,15.44687
11305.0,5.8629055,2.0307624,2.5459962,4.4270043,4.9654913,7.1432166,-4.5552816,8.070243,1.5239309,15.86406
