location,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10
10701.0,-7.8615503,7.918506,-6.2212477,2.0224473,6.344091,6.8444567,-13.254072,-11.063045,5.4976673,4.7860575
10702.0,-7.8359666,7.652234,-6.173931,2.021149,6.347493,6.981306,-13.418192,-11.0859785,5.6420918,4.708058
10703.0,-7.879893,7.6319466,-6.327734,2.0247145,6.337841,6.98752,-13.328147,-11.111749,5.647345,4.7175813
10704.0,-7.7034235,7.4940753,-6.3291154,2.0811229,5.7613945,6.9710894,-12.877748,-10.653246,5.6083345,4.614397
10705.0,-7.931682,7.7660522,-6.245548,1.884838,6.246342,6.9725285,-13.348303,-11.108756,5.6711345,4.6696424
10706.0,-6.8551555,6.457678,-5.106646,3.6515884,7.1665235,7.8964596,-10.345376,-8.424338,4.9128737,5.4154353
10707.0,-7.080805,7.184778,-4.909049,2.365467,6.3680654,6.479542,-12.040156,-10.1123705,4.809695,5.1637335
10708.0,-6.8519697,6.4369874,-5.033179,3.1249132,5.8216166,6.972425,-10.913038,-9.040997,4.866964,5.2209725
10709.0,-7.5513244,7.438339,-5.9073963,2.1188557,5.6278787,6.7526417,-13.277869,-10.705657,5.359971,4.4563656
10710.0,-7.3913307,6.7079315,-5.569809,3.5082178,6.4053326,6.4162583,-11.51634,-9.607157,5.6012497,5.3894897
10711.0,-6.923592,7.2120333,-6.0565686,2.862434,7.437778,5.606616,-9.571456,-6.3623166,4.255938,5.708422
10712.0,-7.57101,7.432565,-5.9371314,2.144529,5.594383,6.7916675,-13.235102,-10.735942,5.4082565,4.4654417
10713.0,-6.971072,6.8092675,-6.0372634,2.506961,6.350848,5.7262053,-10.705127,-9.614578,5.455198,5.5411077
10714.0,-7.7630167,7.588063,-6.2857795,2.0477242,5.7968698,6.9408116,-13.094139,-10.69618,5.5139623,4.4974523
10801.0,-7.0387173,6.268542,-5.2650614,3.5969675,7.4329834,7.44589,-9.925824,-7.8173494,4.9496675,4.770946
10802.0,-7.2359247,6.7241263,-5.4672155,3.5566456,6.3856487,6.4723744,-11.30751,-9.551743,5.5704393,5.378566
10803.0,-7.8967843,7.664846,-6.2456765,2.0094965,6.40512,6.852785,-13.3986225,-11.071524,5.5836005,4.6093745
10804.0,-6.6450224,6.3033533,-5.912077,3.2946393,6.6067667,8.119677,-10.040415,-8.145951,4.4769897,5.861172
10805.0,-6.74987,6.3861203,-6.031982,2.6062632,6.4415975,7.0637097,-9.159438,-8.881254,5.323533,5.1725664
10806.0,-7.925004,7.7503276,-6.1370754,1.9839681,6.192343,6.942185,-12.976649,-10.931331,5.7479596,4.6732926
10807.0,-7.8502774,7.4641137,-6.2463017,1.9436227,6.3053894,7.0002956,-13.123666,-10.943889,5.541504,4.6626625
10901.0,-7.615156,7.5511866,-5.8696537,2.0211244,5.93078,6.7297854,-13.163206,-10.610914,5.299967,4.570947
10902.0,-6.6432333,6.452619,-5.2414536,3.9048443,7.459083,7.743808,-9.543808,-8.261509,5.3207035,4.402713
10903.0,-7.9297795,7.684105,-6.1442757,2.1111958,6.2528563,6.7163825,-13.005421,-10.848136,5.3862195,4.9000535
10904.0,-6.73166,6.4065413,-5.202885,3.978133,7.576604,7.853747,-9.646224,-8.116741,5.243649,4.471675
10905.0,-6.6355157,6.5308275,-6.0583687,2.797638,6.867921,6.687637,-9.039697,-8.893156,5.6493173,5.052985
10906.0,-7.7165966,7.446122,-6.2034163,1.9484845,6.1723495,7.023627,-13.266028,-10.9387245,5.697261,4.6338553
10907.0,-7.0369987,6.3970137,-6.107989,2.746885,7.2169914,6.880238,-9.486393,-8.779667,5.4670157,5.2490644
10908.0,-7.2762184,6.0746603,-5.8380103,3.6601784,7.736018,7.55248,-10.4418545,-7.5178337,4.7627892,5.5219874
10909.0,-6.656272,6.449067,-5.1627645,3.9872983,7.4729514,7.8641653,-9.638037,-8.21086,5.252444,4.453061
10910.0,-7.5257063,7.593704,-5.458856,2.2425778,6.4565578,6.682553,-12.723121,-10.461726,5.0659914,4.967553
10911.0,-7.6025453,7.469227,-5.8891144,2.3157394,6.3342943,6.691949,-13.127328,-10.777142,5.4738383,4.75217
10912.0,-6.6430864,6.628936,-5.146379,3.5385528,6.808421,7.6923213,-10.279784,-8.791038,5.0700684,5.3894415
10913.0,-6.775562,6.5133705,-6.0187306,2.7980797,6.983428,6.6928368,-9.302466,-8.914391,5.5855618,5.1888366
10914.0,-6.4376035,6.757574,-5.044683,3.7147505,6.7326117,8.016971,-10.223948,-8.878986,5.114572,5.367413
10916.0,-6.5009985,6.5669627,-5.2791033,3.5921443,6.6780715,8.035503,-10.028706,-8.751807,5.0312033,5.455618
10918.0,-6.805005,6.038149,-5.2265096,3.0621269,6.1396837,6.9149237,-10.021003,-8.290904,4.7301836,5.081783
10919.0,-6.699173,6.4548717,-5.11941,3.8880708,7.44738,7.683338,-9.748667,-8.231728,5.2159414,4.3413424
10920.0,-6.8404355,7.089018,-5.119476,2.1012352,6.185446,6.483409,-12.350341,-10.564302,4.928423,5.076438
10921.0,-6.504429,6.8105783,-5.139274,3.7423553,6.831785,7.790556,-10.226124,-8.887456,5.2409377,5.3418956
10922.0,-7.7420025,7.622379,-6.346428,2.0489395,6.2845964,6.631053,-13.150037,-10.946535,5.589367,4.831009
10923.0,-8.003602,7.703889,-6.2510667,2.044218,6.328109,6.738429,-13.351914,-10.921695,5.3869553,4.7852025
10924.0,-6.5886726,6.4714127,-4.925745,3.5812604,6.446501,7.758656,-10.31564,-8.728998,4.8999066,5.354398
