location,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10
10701.0,-6.1917253,1.1277715,5.777529,5.255223,4.9462657,28.022245,24.011438,9.441093,-1.20057,8.693304
10702.0,-7.202855,2.1498475,7.1077623,5.387575,5.0408444,25.805574,22.635221,7.4823327,0.5491977,9.913522
10703.0,-7.186897,1.9708569,7.2184415,5.429572,5.142963,25.981894,22.533686,7.4272423,0.39293402,9.95473
10704.0,-7.1692185,1.9653915,6.4744086,5.800246,5.3558354,25.973106,22.983269,8.134776,-0.18757138,10.12119
10705.0,-7.134395,2.0947757,7.0629416,5.451491,4.9856505,25.952938,22.493397,7.472736,0.6577775,9.971024
10706.0,-5.4966273,1.4302506,5.091174,6.476267,4.5563188,27.635595,23.013899,9.7040825,-1.2736877,7.6337185
10707.0,-7.057936,2.0288725,7.036623,5.363187,5.032015,25.758144,22.587051,7.233909,0.51876974,10.056312
10708.0,-7.1493917,1.9813274,7.1824193,5.498747,5.0601463,25.874638,22.440022,7.2733073,0.5419732,10.14251
10709.0,-6.444053,1.3532741,6.462181,6.0439715,5.0365624,26.407036,23.205004,8.393267,-0.29342532,9.637535
10710.0,-6.605641,1.6600032,6.6004148,5.2238054,5.1113915,26.305304,22.803051,7.612005,0.3383694,10.076521
10711.0,-6.0976067,1.0183333,5.4234447,5.65418,5.1268992,27.453884,23.678263,9.536672,-1.4435282,9.313874
10712.0,-6.2567167,1.2511716,5.918495,5.278019,4.8948174,28.030903,23.967978,9.251864,-1.0443048,8.5017805
10713.0,-6.6430955,0.81268966,6.585358,5.3299613,4.761351,26.585077,23.546595,7.903488,-1.0238136,10.0231695
10714.0,-6.038427,1.3946236,5.778261,6.078109,4.6299486,27.791569,23.605576,9.413577,-1.2852796,7.7702727
10801.0,-6.1735897,1.6691426,5.6301236,6.162041,4.3876576,27.720793,23.97583,9.721621,-1.5313486,7.560478
10802.0,-4.968734,0.2578019,5.371072,5.3556614,3.891547,28.983791,23.0252,9.081132,-2.407602,6.725729
10803.0,-7.3385005,2.0527675,6.740084,5.7159915,5.0706763,25.763641,22.644049,7.3806367,0.67187893,10.105327
10804.0,-7.1443605,1.7628314,6.6287065,5.9195085,5.102454,25.82448,22.797543,7.517827,0.56164944,10.212898
10805.0,-7.12619,1.803326,6.9861183,6.179244,4.870003,26.531183,23.306181,8.292377,-0.2960475,8.910665
10806.0,4.14194,6.1369724,10.017048,11.04657,0.3449743,21.561066,11.975695,8.608104,-0.5327952,-0.8778246
10807.0,-3.7183993,-0.12020862,4.0179553,5.691692,3.8017118,29.866022,22.202024,8.672016,-1.193355,5.4628158
10901.0,-6.7263646,1.5480119,7.058723,6.414858,5.2647996,25.91061,23.029333,7.840457,-0.23099379,10.031656
10902.0,-6.064912,1.3821146,5.7409935,5.687642,5.192077,26.762087,23.437054,8.796555,-0.80678463,9.465557
10903.0,-5.980529,1.4895514,5.5017347,5.490372,4.892414,27.310846,23.630796,8.568902,-0.9321639,8.734455
10904.0,-6.1526713,1.0476717,5.4226923,5.8159943,4.336855,27.464993,23.39733,8.4230175,-1.4171828,8.845819
10905.0,-6.1924434,1.0237463,5.428118,5.9725447,4.2627025,27.427036,23.287447,8.495636,-1.4913924,8.798529
10906.0,-6.8950334,1.606868,6.9917927,5.7008805,5.3310432,25.878,22.897818,7.8178368,0.29181576,10.300331
10907.0,-6.329954,1.7735517,7.1576104,5.87392,5.2313023,25.970766,22.829298,7.669215,-0.19149795,10.061768
10908.0,-7.5777674,1.9445614,6.752525,6.0997796,5.1073356,25.830397,22.672667,7.571336,0.3430865,10.168245
10909.0,-6.167277,1.0865686,5.4621773,5.5373464,5.173493,27.217506,23.81298,9.491944,-1.3425459,9.577336
10910.0,-7.263075,1.9503435,6.65981,5.808903,5.286653,25.812479,22.929468,7.9662566,-0.017021934,10.141982
10911.0,-6.1567097,1.0155034,5.401525,5.5139017,5.1428776,27.314213,23.85906,9.577818,-1.435979,9.574112
10912.0,-7.2309184,2.0999517,7.160568,5.4687605,5.2019453,25.881252,22.623957,7.545218,0.4460777,10.235343
10913.0,-5.9080434,1.2798067,5.9241123,6.2742844,4.563111,27.877293,23.667221,9.475397,-1.2392437,7.7995524
10914.0,-6.061386,0.95317173,5.361406,5.6577835,5.009876,27.570461,23.750357,9.613971,-1.5118183,9.207295
10916.0,-5.9320555,1.4042186,5.474707,5.548075,4.783479,27.38236,23.59514,8.564783,-1.0528377,8.69883
10918.0,-5.96133,1.1815095,5.502099,6.3299727,4.5272965,27.3564,22.994864,9.059987,-1.3747529,8.364716
10919.0,-5.475421,1.0510144,5.822606,5.4143457,4.8750105,28.27832,23.600533,9.14583,-1.0826212,6.8178244
10920.0,-6.0691733,1.6688249,5.748192,6.240216,4.4637647,27.699993,23.883919,9.659327,-1.4264673,7.531457
10921.0,-5.7781515,1.4416454,5.7408204,5.805959,4.759984,27.919907,23.644335,9.299911,-1.2197928,7.4058423
10922.0,-7.1187787,2.2030215,6.8814664,5.3665686,4.969966,26.090084,22.6721,7.5436397,0.58433414,10.248957
10923.0,-5.4137545,1.4012848,4.958315,6.489398,4.5993133,27.551725,22.887054,9.750361,-1.2174833,7.7110753
10924.0,-6.064161,0.6189943,5.4687243,5.9232173,4.729776,27.45633,22.943333,9.17416,-1.5717472,9.006755
10925.0,-5.595545,1.3384507,5.6917543,5.538996,4.885843,28.033247,23.592562,9.150948,-1.1342297,7.1719985
10927.0,-6.6887956,1.7856544,5.9230976,5.6464305,5.3669615,26.59021,23.446299,8.752407,-0.5891871,9.618397
10928.0,-7.2809453,2.1091487,6.9897394,5.678279,4.877767,25.703768,22.566545,7.3608,0.6427007,9.831805
11201.0,-6.317195,0.60078096,5.9769535,5.7069683,4.9464626,27.731314,23.239136,9.395072,-1.4919772,8.396072
11202.0,-7.6285586,1.6271039,6.855984,6.0757823,5.3197494,25.741432,22.913525,7.447142,0.48232436,10.255207
11203.0,-6.8884854,1.5313836,7.1916275,5.6292133,5.247272,26.11161,22.679466,7.6550865,-0.02773047,9.972205
11204.0,4.0857,6.2089586,9.991159,11.069881,0.3323167,21.652164,12.057169,8.553534,-0.47995538,-0.7999597
11205.0,-6.820486,1.4989803,6.1761518,6.1170826,5.3291965,26.765335,23.430714,8.729323,-0.47637376,9.490057
11206.0,-6.3329325,0.5411496,5.9024067,5.7606816,4.9220138,27.580002,23.024897,9.290275,-1.4967929,8.649117
11207.0,-7.1167207,2.0456893,6.897244,5.6187453,4.9511366,26.024694,22.634363,7.571428,0.72586733,9.876382
11208.0,-6.760707,1.7323064,6.7457047,5.367057,4.9785237,26.2857,22.818678,7.656794,0.29975885,9.907656
11209.0,-6.020766,1.4228911,5.83795,6.1482067,4.464925,27.846827,23.610027,9.388291,-1.4072006,7.638796
11210.0,-6.985418,2.0950515,6.9351015,5.4195347,4.973409,25.97135,22.623941,7.389235,0.69335353,9.930362
11211.0,-6.5538445,1.6712651,6.6288767,5.3400154,5.1279283,26.192846,22.736834,7.648336,0.3917657,10.08374
11212.0,-6.6464405,1.7564201,5.955077,5.658839,5.4012914,26.604607,23.459358,8.670044,-0.49881586,9.685566
11213.0,4.196826,6.0939975,10.063512,11.028316,0.3086249,21.525816,11.952849,8.65547,-0.5805363,-0.9018895
11301.0,-6.2379103,1.1369144,5.8316493,5.2799344,4.920996,28.038952,23.978758,9.382167,-1.1618484,8.641714
11302.0,-6.2680798,1.505328,5.972459,5.4923763,4.843402,27.667034,23.808893,8.64645,-0.80203766,8.454945
11303.0,-6.5789557,1.5517826,6.32731,5.8586073,4.8699417,27.552217,23.676891,9.013841,-0.73367,8.245839
11304.0,-6.4269056,1.536295,6.231544,5.9475513,4.7759786,27.658401,23.70191,9.163694,-0.8988453,8.046087
11305.0,-6.093942,0.7399898,5.4598227,6.0178547,4.4812646,27.487417,22.99924,8.891102,-1.5924724,8.811091
11306.0,-5.943346,1.4339888,6.015617,6.203548,4.583106,27.916624,23.519156,9.2429,-1.3484493,7.449608
11307.0,-7.281968,1.9980472,6.8234015,5.3247957,4.9345336,25.934645,22.678997,7.2849545,0.55574906,10.036371
11308.0,-6.5970526,1.4309096,6.6718173,6.1087184,5.0520644,26.154024,23.10143,8.1275015,-0.11308811,9.830645
11309.0,-5.587074,0.9124754,5.4883895,5.8763227,4.3013096,28.272055,23.008814,9.099803,-1.6892374,7.2399125
11310.0,-7.477537,2.0347083,6.909627,5.425612,5.078318,25.82604,22.542534,7.469821,0.58928275,9.932419
11311.0,-7.236662,2.2523382,6.918076,5.5978193,4.879902,25.586464,22.377504,7.359091,0.42300895,10.194596
11312.0,-6.3116055,1.5705442,5.784223,5.689801,5.307856,26.733341,23.507463,8.860192,-0.76399064,9.4919615
11313.0,-5.003278,0.26704192,5.3467445,5.3393073,3.9275293,28.948606,23.058174,9.106922,-2.3705509,6.7672515
11314.0,-7.0554676,2.1812408,7.1326504,5.6427574,5.1729364,25.729633,22.30475,7.172293,0.5135913,10.1209755
11315.0,-5.546206,0.836304,5.466637,5.79402,4.266255,28.309875,22.886824,8.998314,-1.7352765,7.2044253
11316.0,-7.1422653,2.2303617,7.3000355,5.3427267,5.005055,25.744604,22.67884,7.2791944,0.6166147,9.960343
11317.0,-6.691155,0.8914286,6.642368,5.4901447,4.7927465,26.51735,23.59173,7.953994,-1.0518742,9.984917
11318.0,-7.3168783,2.0798683,7.300968,5.5126343,5.1024146,25.697716,22.396833,7.4120607,0.6462948,10.086744
11319.0,-6.057382,1.2761133,5.4584765,6.3005567,4.3817677,27.162497,23.049568,8.635584,-1.2850287,8.614209
11320.0,-5.3296,0.98375994,5.76867,5.235591,5.005971,28.30142,23.400942,8.922693,-0.9701434,6.734582
11321.0,-7.357206,2.4085217,7.2030096,5.3541613,5.1541905,25.823996,22.512333,7.4686475,0.57204974,9.9804125
11322.0,-6.7801023,1.9149221,7.217238,5.9366894,5.3094144,25.629246,22.70188,7.488096,0.55615485,10.31007
12401.0,-5.6953125,1.4437333,5.6684346,5.7203417,4.8045483,27.946884,23.649849,9.238406,-1.2067362,7.3417234
12402.0,3.98538,6.083554,10.091084,11.036598,0.31002554,21.65732,12.160787,8.715835,-0.63926196,-0.69238263
12403.0,-6.702725,1.498094,6.9447126,6.403892,5.2194347,25.96436,23.079153,7.948975,-0.22089648,9.982174
20101.0,-6.3362083,0.44731984,5.9485745,5.5653768,5.0300436,27.750395,23.263826,9.386201,-1.5353448,8.542795
20102.0,-5.556602,1.472257,5.1555734,6.517287,4.5527267,27.535604,22.987448,9.6036625,-1.2488883,7.71118
20103.0,-6.153073,1.0369599,5.4371524,6.0329776,4.3201876,27.634472,23.492123,8.928697,-1.6337538,8.588249
