location,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10
10701.0,6.9080467,-6.592985,2.5943186,5.676623,-6.099189,3.7802846,-8.039861,2.92173,12.001805,7.085056
10702.0,5.648108,-6.3661337,2.568128,8.971823,-7.8213577,2.6139085,-7.8329544,2.752834,12.2651205,4.905166
10703.0,6.934443,-6.1233273,3.667075,8.386567,-6.8310704,2.108986,-7.791433,2.215133,12.172041,5.581172
10704.0,4.924178,-8.49678,-0.06281578,1.1094396,-2.9197137,7.8247466,-12.409124,4.203023,13.046094,11.287766
10705.0,4.9798603,-8.597045,0.13065018,0.961158,-2.921622,7.934274,-12.347127,4.2624426,12.9478245,11.329554
10706.0,4.470971,-1.4729277,1.0182856,4.0474024,1.6654114,1.0790488,-6.089418,2.9411037,8.802356,5.7562013
10707.0,4.9700713,-8.472016,0.009590494,1.034355,-2.9952133,7.9885926,-12.385044,4.0895715,12.981263,11.32136
10708.0,6.8832216,-6.148185,3.6013675,8.399233,-6.8991685,2.1205695,-7.759415,2.2247362,12.191326,5.55696
10709.0,5.661484,-6.3247366,2.6597948,8.761456,-7.697562,2.798237,-7.7644067,2.8770432,12.26141,4.9893956
10710.0,6.144549,-5.9300284,2.786776,8.3715725,-7.4748697,2.7280455,-7.7349133,2.6766098,11.898279,5.1466994
10711.0,5.7726593,-6.1627765,2.6162894,8.872445,-7.709131,2.678104,-7.7795563,2.760206,12.263798,4.9328775
10712.0,6.8972487,-6.0663056,3.6919825,8.3721075,-6.8450575,2.063263,-7.819207,2.1687446,12.121758,5.562867
10713.0,6.892364,-6.198469,3.5606613,8.363531,-6.932068,2.127588,-7.726141,2.2109175,12.228792,5.582833
10714.0,7.398228,-6.411884,2.134374,3.785333,-5.339856,3.8959982,-8.306805,2.5868952,11.292408,8.06741
10801.0,5.7537236,-6.031233,2.6418388,8.897728,-7.788951,2.7872455,-7.787914,2.7765973,12.3034725,4.9504766
10802.0,7.2532983,-7.446368,2.2068124,4.4377413,-5.993832,4.7469854,-8.31805,2.8025734,12.295953,7.958298
10803.0,7.4679365,-6.9107676,2.0815306,4.3986087,-5.7750216,4.1716323,-8.285595,2.5261483,12.033333,7.56674
10804.0,5.8880215,-5.998869,2.767792,8.492567,-7.8175697,2.4984574,-7.7176466,2.5685177,11.70092,5.0300617
10805.0,5.7350855,-6.2307196,2.599578,8.7590685,-7.706767,2.655303,-7.704635,2.7854214,12.137419,4.9933906
10806.0,5.7373886,-6.2820597,2.5838454,8.73072,-7.6249022,2.5800614,-7.515393,2.6990235,12.176749,4.9491253
10807.0,5.136869,-8.370719,-0.11098255,0.94975543,-3.0854018,8.079818,-12.431304,4.1133995,13.002283,11.252937
10901.0,5.582136,-8.827826,0.40403986,1.500896,-3.6915662,7.296995,-11.239063,3.6735508,12.802185,10.379198
10902.0,5.7273707,-6.2014832,2.6788757,8.713921,-7.8669386,2.8169813,-7.6993856,2.7254062,12.153146,4.835876
10903.0,7.1853642,-5.180528,3.1346972,4.3268027,-4.449284,1.6003937,-7.763027,0.7172335,9.524166,8.531242
10904.0,7.404943,-6.6109324,2.0980802,4.342233,-5.6752896,3.9936767,-8.188691,2.5701158,11.780109,7.5482235
10905.0,7.988631,-7.4224534,3.1927779,5.3038254,-6.800344,4.0948615,-8.095918,2.5237992,11.93424,7.838831
10906.0,5.157265,-8.7616205,0.09934179,1.0704566,-3.1915727,7.696211,-12.158737,4.2257442,12.720651,11.199713
10907.0,5.5599213,-8.821422,0.46851474,1.3750079,-3.6817102,7.055,-11.290172,3.8374665,12.594604,10.620007
10908.0,6.7861676,-7.582496,2.130146,3.5035932,-5.425242,4.951668,-8.987829,2.967576,11.737026,8.824771
10909.0,5.023219,-8.453802,-0.019042332,1.0098557,-3.1206834,8.045119,-12.211561,4.0851507,13.113931,11.372578
10910.0,6.994444,-7.796576,2.2278957,4.2687345,-5.7977123,4.9230165,-8.53681,2.7598264,12.282884,8.217552
10911.0,5.2487764,-8.421536,0.15551554,1.0144929,-2.9618642,7.871561,-12.303343,3.9691653,12.978453,11.247125
10912.0,7.451603,-6.887898,2.023462,4.314624,-5.699309,4.1680474,-8.300255,2.5278735,11.999398,7.5896053
10913.0,5.6674175,-6.162633,2.4797719,8.674602,-7.8340516,2.6508522,-7.825439,2.817051,12.318856,5.139881
