location,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10
10701.0,7.8225155,17.038055,5.9649334,-2.06246,24.439768,-0.10647254,5.140163,1.1073003,5.9422526,-0.8970572
10702.0,7.4907336,16.450487,6.099774,-2.3861482,24.583172,-0.91725826,5.5607405,1.5016861,5.834421,-1.3200352
10703.0,7.5014877,16.513924,6.0555034,-2.3645837,24.525747,-0.8815622,5.4145603,1.3951873,5.8319206,-1.3881617
10704.0,7.9820275,17.225744,5.9530735,-1.7810016,23.850012,-0.47873378,5.149168,1.6205803,6.474322,-0.72566223
10705.0,9.576573,18.832329,6.8820868,-1.2033224,23.94888,-0.93263155,4.311139,1.6738563,7.908421,-0.35914323
10706.0,7.3649383,16.970747,5.8548555,-2.497711,24.463446,-0.3290055,5.4362774,1.2559955,5.9339204,-1.2443463
10707.0,10.051201,19.23679,7.1874437,-1.4228045,24.456465,-0.81645966,5.4096913,1.8713354,8.085476,-0.9769758
10708.0,8.9886875,18.324396,5.7949133,-1.3297628,24.095951,-0.03363088,5.329884,1.7593052,6.6661825,0.058793962
10709.0,7.7805805,16.868866,6.6074467,-2.4885974,24.257786,-0.7351531,5.0996575,1.6487771,6.076634,-1.7016168
10710.0,11.08994,19.692652,9.829608,-1.3918177,25.555683,-0.99995244,5.00431,2.55557,8.884517,-1.6265423
10711.0,11.294433,19.602974,10.05816,-1.4831301,25.500603,-1.1027306,4.8531723,2.7114084,9.148502,-1.6753196
10712.0,11.213626,19.69469,9.978019,-1.4104563,25.601513,-1.0342511,5.06901,2.5928092,9.010792,-1.7222313
10713.0,8.086719,17.426382,6.520643,-2.0593572,24.15759,-0.56250054,5.309898,1.543506,6.481914,-1.3712126
10714.0,7.502773,16.575432,6.03178,-2.3628943,24.439104,-0.9608321,5.3961945,1.4936864,5.7970004,-1.0691127
10801.0,11.212931,19.60758,9.661746,-1.4514663,25.43553,-1.0287734,5.1619115,2.6208246,9.179919,-1.762267
10802.0,10.484712,19.669651,9.344461,-0.8163589,25.474884,-0.659061,5.6062627,1.5804403,7.894042,-1.6415901
10803.0,11.270269,20.21263,8.955927,-1.5614816,25.025995,-1.002295,5.958867,2.0088189,9.307774,-2.0148354
10804.0,7.8326287,17.168358,6.3557615,-2.1382961,24.449177,-0.35911044,4.948829,1.082381,5.7778063,-0.92476034
10805.0,10.8798275,20.149635,8.346291,0.023508767,25.92516,-0.83284634,4.299717,2.5560586,7.903399,-1.2545892
10806.0,8.839551,17.956585,6.3888044,-1.1872529,24.500484,-0.15659492,5.069362,1.5274508,6.9059005,-0.52412087
10807.0,7.670442,16.782145,6.3464217,-2.3906991,24.512238,-0.8643504,5.292891,1.3637305,5.7989054,-1.0714289
