location,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10
10701.0,21.893194,9.177598,8.150679,-1.4963051,12.070442,1.5985492,-3.2837553,8.845692,4.1658416,8.443385
10702.0,21.967154,8.80563,8.29641,-1.7418079,12.182657,1.4318234,-4.2312994,8.047181,4.76549,8.087496
10703.0,22.122263,9.239804,9.208401,-1.7130748,12.007908,1.6897684,-3.593321,8.873054,4.9996653,9.56913
10704.0,22.926245,8.994144,8.723398,-2.1397152,12.240538,1.9363337,-3.722114,8.6277075,4.7538013,8.885572
10705.0,22.221947,8.511323,8.538585,-2.2130187,12.448779,1.6863449,-4.0909953,8.253147,5.214942,8.208215
10706.0,22.007532,8.637446,8.263614,-1.7299403,13.188109,1.4923892,-3.9913657,7.9039407,5.09674,8.090102
10707.0,21.735306,8.521856,8.2160635,-1.8518095,11.8841915,1.309031,-3.065199,8.42131,4.534872,8.812432
10708.0,22.947237,8.994923,8.757853,-2.232546,12.086633,1.9348679,-3.6241689,8.681198,4.6199813,8.946299
10709.0,21.883457,8.285556,8.3129835,-1.9717919,11.659514,2.1299863,-3.5895953,8.065358,4.624026,9.007507
10710.0,21.846037,8.456038,8.218803,-2.179781,11.620596,2.1606922,-4.058868,8.003317,4.76491,8.686989
10711.0,22.068125,8.414495,8.327335,-1.751626,12.044018,2.019083,-3.076552,8.867559,4.7316766,9.189547
10712.0,21.900896,8.30835,8.416961,-1.8630419,13.00883,1.6259273,-3.949159,8.00287,5.0342684,7.999686
10713.0,22.322254,8.355334,8.839759,-1.7723322,12.972774,1.8620198,-4.0628934,8.180628,4.7359486,8.192764
10714.0,22.325705,9.262366,8.680595,-2.138506,12.872424,1.8497491,-3.905551,8.2639675,4.5524473,8.664673
10801.0,21.467417,8.920563,8.94098,-1.7243509,12.193104,2.197631,-4.308109,8.221076,4.9250364,8.179022
10802.0,21.609982,8.800708,8.9375105,-1.9393711,12.245963,2.1368744,-4.340651,8.27406,5.0285263,8.10664
10803.0,22.35947,8.197654,8.876635,-1.866295,12.70529,1.9843718,-4.267211,8.390769,5.0003247,8.19554
10804.0,22.067022,9.23388,8.157084,-1.5203198,11.981138,1.484007,-3.3138378,8.761127,4.207683,8.342803
10805.0,21.534616,8.842063,8.941431,-1.8519717,12.188596,2.1606784,-4.400038,8.189607,5.0141554,8.168984
10806.0,21.807884,9.144417,9.199145,-1.6020014,12.133145,1.6485599,-3.6051664,8.641582,4.957739,9.4706955
10807.0,22.099705,9.015958,8.908265,-1.8324848,12.867589,1.8178577,-4.2042336,8.144942,4.635324,8.573184
10901.0,22.089582,8.588558,8.717316,-2.1970763,12.506497,1.9485068,-4.091114,8.3842325,5.114447,7.967502
10902.0,21.847496,8.457704,8.881081,-2.1632621,12.204512,1.8526963,-4.260922,7.8741016,5.341497,8.356337
10903.0,22.365036,8.903776,8.682375,-2.5854635,12.426638,2.2105556,-4.1557045,7.971404,4.8730464,8.10261
10904.0,22.004044,8.499043,8.498428,-2.159199,12.091516,1.7365309,-4.4066343,8.264349,5.060039,8.018533
10905.0,21.618263,8.410462,8.196025,-1.3729246,12.33115,1.6279782,-3.4931588,7.860576,5.2836285,8.3141575
10906.0,22.45247,8.948384,8.824312,-2.4061503,12.565772,2.283921,-4.416694,7.798594,4.8269677,7.928556
10907.0,21.747559,8.432801,8.315252,-1.839735,11.936953,1.3355522,-3.0160828,8.438398,4.6448245,8.947096
10908.0,22.478247,9.0278635,8.749544,-2.3871367,12.451529,2.2149549,-4.3298464,7.8455105,4.7449923,7.9033203
10909.0,21.828596,8.368005,8.098672,-1.7922826,12.821744,1.6637834,-3.832949,8.29625,5.117245,7.94136
10910.0,21.315952,8.564049,8.03416,-1.8918413,12.226503,2.0186,-3.5322359,8.355744,4.406375,8.852787
10911.0,21.691183,8.393471,8.92087,-1.9448119,12.438095,1.9990182,-2.9078796,8.180316,5.144872,8.673273
10912.0,22.066107,8.491576,9.322462,-2.1378236,12.710835,1.7315967,-3.8208103,7.500718,4.566924,8.846452
10913.0,22.223282,8.639711,8.632407,-2.3608975,12.440102,1.8343828,-4.353784,8.308981,5.1731563,8.181418
10914.0,21.664543,8.375478,8.416509,-1.3895724,12.11396,1.6311373,-3.1081238,8.131564,5.3775663,8.504172
10916.0,21.739685,9.071513,8.958181,-1.5075481,12.50626,1.5942295,-3.4713104,8.777819,4.3313174,9.229113
10918.0,22.231495,8.81013,8.425731,-1.9699565,13.205181,1.5292852,-4.1012735,8.067627,5.0255356,8.153271
